o,OA
OA,のろま
oaf,オアフ島
Oahu,オーク
oak,オークランド
Oakland,オール
oar,オアシス
oasis,からす麦
oat,宣誓
oath,オートミール
oatmeal,OAU
OAU,OB
OB,オバマ
Obama,服従
obedience,従順な
obedient,敬意
obeisance,オベリスク
obelisk,肥満した
obese,肥満
obesity,従う
obey,従った
obeyed,当惑させる
obfuscate,オビスポ
Obispo,死亡記事
obit,obiter
obiter,死亡記事
obituary,オブジェクト
object,異議
objection,不愉快な
objectionable,目的
objective,客観的に
objectively,客観論 
objectivism,客観性
objectivity,反対者
objector,義務付ける
obligate,義務
obligation,義務的
obligatory,義務付ける
oblige,斜めの
oblique,斜めに
obliquely,消し去る
obliterate,忘却
oblivion,記憶してない
oblivious,横長
oblong,不愉快な
obnoxious,オーボエ
oboe,わいせつな
obscene,わいせつ
obscenity,曖昧な
obscure,無名
obscurity,こびへつらう
obsequious,観察できる
observable,遵守
observance,観察力の鋭い
observant,観測
observation,観測の
observational,展望台
observatory,観察する
observe,観測された
observed,観察者
observer,取りつく
obsess,夢中 
obsessed,強迫観念
obsession,強迫的な
obsessive,しきりに
obsessively,黒曜石
obsidian,陳腐化
obsolescence,廃れかかった
obsolescent,廃止された
obsolete,障害物
obstacle,産科の
obstetric,産科医
obstetrician,産科
obstetrics,頑固
obstinacy,頑固な
obstinate,妨害する
obstruct,閉塞
obstruction,閉塞性の
obstructive,入手する
obtain,得られる
obtainable,入手
obtaining,押し付けがましい　
obtrusive,鈍い　
obtuse,未然に防ぐ
obviate,明らかな
obvious,明らかに
obviously,OC
OC,時
occasion,時折の
occasional,たまに
occasionally,引き起こさ
occasioned,西洋の
occidental,塞ぐ
occlude,閉塞
occlusion,オカルト
occult,掩蔽
occultation,占有
occupancy,占有者
occupant,職業
occupation,職業の
occupational,占領下
occupied,居住者
occupier,占める
occupy,発生する
occur,発生した
occured,発生
occurrence,海洋
ocean,大洋の
Oceanic,海洋学
oceanography,オセロット
ocelot,おお
och,黄土色
ocher,黄土色
ochre,OCP
OCP,10月
Oct,八角形
octagon,八角形の
octagonal,オクターブ
octave,10月
October,80代
octogenarian,タコ
octopus,接眼レンズ
ocular,オダリスク
odalisque,奇数
odd,変わり者
oddball,奇妙
oddest,変人
oddity,妙に
oddly,オッズ
odds,頌歌
ode,オーデル川
Oder,オーディン
Odin,いやらしい　
odious,オドメーター
odometer,臭気
odor,付臭剤
odorant,臭気
odour,オデッセイ
Odyssey,OECD
OECD,OED
OED,エディプス
Oedipal,オイディプス
Oedipus,全作品
oeuvre,の
of,オフ
off,臓物
offal,オフビート
offbeat,犯罪
offence,怒らせる
offend,気分を害した
offended,犯人
offender,犯罪
offense,攻撃
offensive,攻撃的
offensively,オファー
offer,募集
offering,ぶっきらぼうな
offhand,ぶっきらぼうに
offhandedly,オフィス
office,公務員
officeholder,役員
officer,公式
official,正式に
officially,職務を果たす
officiate,おせっかいな
officious,沖
offing,オフライン
offline,画面外の
offscreen,シーズンオフ
offseason,オフセット
offset,分派
offshoot,オフショア
offshore,オフサイド
offside,子孫
offspring,舞台裏
offstage,oft
oft,多くの場合
often,OGC
OGC,オグデン
Ogden,よく見る
ogle,鬼
ogre,OH
OH,オハイオ州
Ohio,オーム
ohm,OIC
OIC,オイル
oil,オイルクロス
oilcloth,タンカー
oiler,石油業者
oilman,オイル
oils,オイリー
oily,ブーブー
oink,軟膏
ointment,OIPR
OIPR,OK
OK,はい
okay,オクラホマ
Okla,オクラホマ州
Oklahoma,オクラホマ
Oklahoman,オクラ
okra,OL
OL,オランザピン
olanzapine,オレイサ
Olathe,古い　
old,昔の
olden,年上の
older,最も古い　
oldest,オールズモビル
Oldsmobile,オーレ
ole,セイヨウキョウチクトウ
oleander,嗅覚
olfaction,嗅覚の
olfactory,ロシアの新興財閥
Oligarch,寡頭政治
oligarchy,オリゴ
oligo,オリゴマー
oligomer,オリゴヌクレオチド
oligonucleotide,寡占
oligopoly,オリーブ
olive,オリバー
Oliver,オーリー
Ollie,オリンピア
Olympia,オリンピック選手
Olympian,オリンピック
Olympic,五輪
Olympics,オリンポス
Olympus,オマハ
Omaha,オマーン
Oman,OMB
OMB,オンブズマン
ombudsman,オメガ
omega,オムレツ
omelet,オムレツ
omelette,前兆
omen,ああ、神様
OMG,オミクロン
omicron,不吉な
ominous,不吉に
ominously,省略
omission,省略する
omit,オムニバス
omnibus,全能
omnipotence,全能の
omnipotent,遍在する
omnipresent,全知
omniscience,全知の
omniscient,雑食性の
omnivorous,OMPF
OMPF,オン
on,機内で
onboard,一度
once,癌遺伝子
oncogene,癌専門医
oncologist,腫瘍学
oncology,1
one,厄介な
onerous,もの
ones,自分
oneself,一度
onetime,継続
ongoing,タマネギ
onion,オンライン
online,傍観者
onlooker,のみ
only,擬音語
onomatopoeia,画面上の
onscreen,開始
onset,猛攻
onslaught,ステージ上の 
onstage,オンタリオ
Ontario,上へ
onto,存在論の
ontological,オントロジー
ontology,責任
onus,オンワード
onward,オニキス
onyx,卵母細胞
oocyte,どっさり
oodles,OOF
oof,オーッ！
ooh,ooky
ooky,活力
oomph,OOP
OOP,おっと！
oops,軟泥
ooze,OP
OP,不透明度
opacity,オパール
opal,不透明な
opaque,OPEC
OPEC,オープン
open,開いた
opened,オープナー
opener,オープニング
opening,公然と
openly,開放性
openness,オペラ
opera,実施可能の
operable,動作する
operate,オペラの
operatic,動作する
operating,操作
operation,オペレーショナル
operational,手術
operative,オペレータ
operator,蓋
operculum,オペレッタ
operetta,オペロン
operon,眼の
ophthalmic,眼科医
ophthalmologist,アヘン剤
opiate,オピン
opine,意見を述べた
opined,意見
opinion,意固地な
opinionated,オピオイド
opioid,アヘン
opium,オポッサム
opossum,対戦相手
opponent,時宜を得た
opportune,ご都合主義
opportunism,日和見主義者
opportunist,日和見主義の
opportunistic,チャンス
opportunity,反対する
oppose,反対
opposite,野党
opposition,虐げる
oppress,虐げられた
oppressed,弾圧
oppression,重苦しい　
oppressive,迫害者
oppressor,不名誉
opprobrium,オプト
opt,オプティック
optic,オプティカル
optical,光学
optics,最適な
optimal,最適に
optimally,楽観
optimism,楽観主義者
optimist,楽観的
optimistic,最適化
optimization,最適化する
optimize,最適化された
optimized,最適
optimum,オプション
option,オプショナル
optional,富裕
opulence,華麗な
opulent,作品
opus,または
or,オラクル
oracle,神託の
oracular,経口
oral,経口で
orally,オランウータン
orang,オレンジ
orange,オランウータン
orangutan,orate
orate,演説
oration,雄弁家
orator,雄弁
oratory,オーブ
orb,軌道
orbit,軌道
orbital,オービター
orbiter,眼窩前頭
orbitofrontal,オーク
Orc,シャチ
orca,果樹園
orchard,オーケストラ
orchestra,オーケストラの
orchestral,調整する
orchestrate,編成
orchestration,蘭
orchid,シカゴｵヘア国際空港
ORD,命じる
ordain,試練
ordeal,オーダー
order,発注
ordering,整然とした
orderly,序数
ordinal,条例
ordinance,通常
ordinarily,一般
ordinary,聖職授与式
ordination,軍需品
ordnance,鉱石
ore,オレガノ
oregano,オレゴン州
Oregon,オレゴニアン
Oregonian,ORF
ORF,ORG
ORG,オルガン
organ,オルガネラ
organelle,オーガニック
organic,有機的に
organically,組織
organisation,整理する
organise,編成された
organised,生体
organism,オルガン奏者
organist,組織
organization,組織的な
organizational,組織全体
organizationwide,整理する
organize,編成
organized,オーガナイザー
organizer,整理
organizing,有機塩素系殺虫剤
organochlorine,オーガズム
orgasm,飲めや歌えの
orgiastic,乱交パーティー
orgy,オリエント
orient,オリエンタル
oriental,オリエンテーション
orientation,オリフィス
orifice,原点
origin,元の
original,オリジナリティ
originality,もともと
originally,始まる
originate,創始者
originator,コウライウグイス
oriole,オリオン
Orion,ORK
ork,オーランド
Orlando,オーナメント
ornament,装飾用の
ornamental,装飾
ornamentation,装飾
ornamented,オルナン
Ornans,凝った
ornate,貧弱な
ornery,鳥類学者
ornithologist,孤児
orphan,孤児院
orphanage,オルフェウス
Orpheus,歯列矯正の
orthodontic,歯列矯正
orthodontics,歯科矯正医
orthodontist,オーソドックス
orthodox,正統性
orthodoxy,直交する
orthogonal,正書法
orthography,オルソログ
Ortholog,オーソロガス
orthologous,オルソログ
orthologue,オルソロジー
orthology,整形外科の
orthopedic,整形外科医
orthopedist,大阪
Osaka,オスカー
Oscar,OSCE
OSCE,振動する
oscillate,発振
oscillation,発振器
oscillator,振動する
oscillatory,オスカー
Oskar,オスロ
Oslo,オスマン
Osman,浸透
osmosis,浸透性の
osmotic,ミサゴ
osprey,OSR
OSR,骨化
ossification,硬直した
ossified,表向きの
ostensible,表向き
ostensibly,見せびらかし
ostentation,派手な
ostentatious,ostentatiously
ostentatiously,変形性関節症
osteoarthritis,骨芽細胞
osteoblast,破骨細胞
osteoclast,破骨細胞形成
osteoclastogenesis,整骨療法の
osteopathic,骨粗しょう症
osteoporosis,村八分
ostracism,仲間外れ
ostracized,ダチョウ
ostrich,オズワルド
Oswald,OTH
OTH,その他
other,他人
others,そうでなければ
otherwise,別世界の
otherworldly,オーティス
Otis,耳炎
otitis,オタワ
Ottawa,カワウソ
otter,オットマン
Ottoman,痛い！
ouch,〜すべき
ought,オンス
ounce,私たちの
our,私たちのもの
ours,私たち自身
ourself,われわれ自身
ourselves,失脚させる
oust,追放
ouster,アウト
out,機能停止
outage,アウトバック
outback,高値
outbid,アウトボード
outboard,アウトバウンド
outbound,アウトブレイク
outbreak,異系交配の
outbred,別棟
outbuilding,爆発
outburst,見捨てられた
outcast,結果
outcome,露頭
outcrop,異系交配
outcross,悲鳴
outcry,時代遅れの
outdated,しのぐ
outdo,アウトドア
outdoor,アウトドア
outdoors,アウター
outer,上着
outerwear,外野
outfield,外野手
outfielder,洋服
outfit,装備
outfitted,紳士服店
outfitter,流出
outflow,出ていく
outgoing,脱却する
outgrow,副産物
outgrowth,離れ家
outhouse,外出
outing,異様な
outlandish,より長もち??する
outlast,アウトロー
outlaw,支出
outlay,アウトレット
outlet,外れ値
outlier,アウトライン
outline,長生きする
outlive,長生き
outlived,見通し
outlook,範囲外の
outlying,謀略で勝つ
outmaneuver,時代遅れの
outmoded,数で勝る
outnumber,しのぐ
outpace,外来患者
outpatient,しのぐ
outperform,前哨
outpost,流出させる
outpour,ほとばしり
outpouring,出力
output,激怒
outrage,怒った
outraged,とんでもない
outrageous,乱暴に
outrageously,上回って
outrank,常軌を逸した
outre,アウトリーチ
outreach,アウトリガー
outrigger,あからさまな
outright,追い越す
outrun,outsell
outsell,初め
outset,に光り勝つ
outshine,外
outside,アウトサイダー
outsider,特大
outsize,特大の
outsized,近郊
outskirts,裏をかく
outsmart,アウトソース
outsource,外部委託
outsourced,アウトソーシング
outsourcing,率直な
outspoken,outspokenly
outspokenly,傑出した
outstanding,広げた
outstretched,追い越す
outstrip,外に
outta,アウトテイク
outtake,外側へ
outward,外側に
outwardly,上回る
outweigh,裏をかく
outwit,ウーゾ
ouzo,卵子
ova,オーバル
oval,卵巣の
ovarian,卵巣
ovary,オベーション
ovation,オーブン
oven,以上
over,大げさに演じる
overact,全体的な
overall,オーバーオール
overalls,overbear
overbear,盛りを過ぎた
overblown,船外に
overboard,過剰生産能力
overcapacity,どんよりした
overcast,過充電
overcharge,オーバーコート
overcoat,克服する
overcome,超満員
overcrowded,超過密
overcrowding,過剰診断
overdiagnosis,やり過ぎる
overdo,超優性
overdominance,過剰摂取
overdose,オーバードライブ
overdrive,期限を過ぎた
overdue,食べ過ぎる
overeat,過度に重視する
overemphasize,過大評価
overestimate,過大評価
overestimated,過大評価
overestimation,過剰発現
overexpress,過剰発現
overexpressed,過剰発現
overexpression,オーバーフィット
overfit,オーバーフロー
overflow,草に覆われた
overgrown,オーバーハング
overhang,オーバーホール
overhaul,オーバーヘッド
overhead,小耳に挟む
overhear,立ち聞き
overheard,過熱
overheat,大喜びの
overjoyed,やり過ぎ
overkill,陸路で
overland,オーバーラップ
overlap,オーバーラップ
overlapped,オーバーレイ
overlay,オーバーロード
overload,オーバーロード
overloaded,見過ごす
overlook,大君主
overlord,過度に
overly,一晩
overnight,陸橋
overpass,余分に払う
overpay,払い過ぎ
overpayment,過大評価する
overplay,人口過剰
overpopulation,圧倒する
overpower,過剰生産
overproduction,高く評価し過ぎる
overrate,過大評価された
overrated,オーバーリーチ
overreach,過剰反応する
overreact,過剰反応
overreaction,覆す
override,却下する
overrule,オーバーラン
overrun,海外
oversea,監督する
oversee,監督
overseer,誇大
oversell,曇らせる
overshadow,オーバーシュート
overshoot,監督
oversight,単純化し過ぎる
oversimplify,オーバーサイズ
oversize,特大の
oversized,大げさに言う
overstate,誇張
overstatement,overstay
overstay,踏み越え
overstep,オーバーストック
overstock,供給過剰
oversupply,あからさまな
overt,追い越す
overtake,悪税
overtax,打倒
overthrow,時間とともに
overtime,あからさまに
overtly,倍音
overtone,倍音
overtones,序曲
overture,覆す
overturn,酷使
overuse,過大評価
overvalue,概要
overview,太り過ぎ
overweight,圧倒する
overwhelm,圧倒的な
overwhelming,圧倒的に
overwhelmingly,過労
overwork,過重労働の
overworked,高ぶった
overwrought,熱心過ぎる
overzealous,卵形の
ovoid,排卵する
ovulate,排卵
ovulation,うわっ!
ow,負っている
owe,オーウェン
Owen,借金
owing,フクロウ
owl,自分の
own,所有者
owner,所有権
ownership,雄牛
ox,オックスフォード
Oxford,酸化剤
oxidant,オキシダーゼ
oxidase,酸化
oxidation,酸化
oxidative,酸化物
oxide,酸化する
oxidize,酸化
oxidized,酸素
oxygen,酸素を送り込む
oxygenate,酸素化
oxygenation,矛盾した表現
oxymoron,カキ
oyster,オンス
oz,オゾン
ozone,p
